Date,Ratio,Action,Instr1_position,Instr2_position,Profit
2022/09/08,0.6,Sold,-1,0.6,0
2022/09/08,0.6,Sold,-2,1.2,0
2022/09/08,0.6,Sold,-3,1.8,0
2022/09/08,0.6,Sold,-4,2.4,0
2022/09/08,0.6,Sold,-5,3,0
2022/09/08,0.601,Sold,-6,3.6,0
2022/09/08,0.6,Sold,-7,4.2,0
2022/09/08,0.6,Sold,-8,4.8,0
2022/09/08,0.6,Sold,-9,5.4,0
2022/09/08,0.6,Sold,-10,6,0
2022/09/08,0.599,Sold,-11,6.6,0
2022/09/08,0.6,Sold,-12,7.2,0
2022/09/08,0.6,Sold,-13,7.8,0
2022/09/08,0.6,Sold,-14,8.4,0
2022/09/08,0.6,Sold,-15,9,0
2022/09/08,0.6,Sold,-16,9.6,0
2022/09/08,0.6,Sold,-17,10.2,0
2022/09/08,0.6,Cleared,0,0,-1.85
2022/09/08,0.6,Sold,-1,0.6,-1.85
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.6,Cleared,0,0,-1.97
2022/09/08,0.601,Cleared,0,0,-1.97
2022/09/08,0.601,Bought,1,-0.601,-1.97
2022/09/08,0.601,Bought,2,-1.2,-1.97
2022/09/08,0.601,Bought,3,-1.8,-1.97
2022/09/08,0.601,Bought,4,-2.4,-1.97
2022/09/08,0.601,Bought,5,-3,-1.97
2022/09/08,0.601,Bought,6,-3.6,-1.97
2022/09/08,0.601,Bought,7,-4.21,-1.97
2022/09/08,0.601,Bought,8,-4.81,-1.97
2022/09/08,0.601,Bought,9,-5.41,-1.97
2022/09/08,0.601,Bought,10,-6.01,-1.97
2022/09/08,0.6,Cleared,0,0,-3.94
2022/09/08,0.6,Cleared,0,0,-3.94
2022/09/08,0.599,Sold,-1,0.599,-3.94
2022/09/08,0.6,Sold,-2,1.2,-3.94
2022/09/08,0.6,Sold,-3,1.8,-3.94
2022/09/08,0.599,Sold,-4,2.4,-3.94
2022/09/08,0.599,Sold,-5,3,-3.94
2022/09/08,0.6,Sold,-6,3.6,-3.94
2022/09/08,0.599,Sold,-7,4.2,-3.94
2022/09/08,0.599,Sold,-8,4.8,-3.94
2022/09/08,0.599,Sold,-9,5.39,-3.94
2022/09/08,0.599,Sold,-10,5.99,-3.94
2022/09/08,0.599,Sold,-11,6.59,-3.94
2022/09/08,0.599,Sold,-12,7.19,-3.94
2022/09/08,0.599,Sold,-13,7.79,-3.94
2022/09/08,0.599,Sold,-14,8.39,-3.94
2022/09/08,0.599,Sold,-15,8.99,-3.94
2022/09/08,0.599,Sold,-16,9.59,-3.94
2022/09/08,0.6,Sold,-17,10.2,-3.94
2022/09/08,0.6,Sold,-18,10.8,-3.94
2022/09/08,0.6,Sold,-19,11.4,-3.94
2022/09/08,0.599,Sold,-20,12,-3.94
2022/09/08,0.599,Sold,-21,12.6,-3.94
2022/09/08,0.599,Sold,-22,13.2,-3.94
2022/09/08,0.599,Sold,-23,13.8,-3.94
2022/09/08,0.599,Sold,-24,14.4,-3.94
2022/09/08,0.599,Sold,-25,15,-3.94
2022/09/08,0.599,Sold,-26,15.6,-3.94
2022/09/08,0.599,Sold,-27,16.2,-3.94
2022/09/08,0.599,Sold,-28,16.8,-3.94
2022/09/08,0.598,Sold,-29,17.4,-3.94
2022/09/08,0.598,Sold,-30,18,-3.94
2022/09/08,0.598,Sold,-31,18.6,-3.94
2022/09/08,0.598,Sold,-32,19.2,-3.94
2022/09/08,0.599,Sold,-33,19.8,-3.94
2022/09/08,0.598,Sold,-34,20.4,-3.94
2022/09/08,0.598,Sold,-35,21,-3.94
2022/09/08,0.597,Sold,-36,21.6,-3.94
2022/09/08,0.597,Sold,-37,22.2,-3.94
2022/09/08,0.597,Sold,-38,22.8,-3.94
2022/09/08,0.597,Sold,-39,23.4,-3.94
2022/09/08,0.598,Sold,-40,24,-3.94
2022/09/08,0.598,Sold,-41,24.6,-3.94
2022/09/08,0.598,Sold,-42,25.1,-3.94
2022/09/08,0.598,Sold,-43,25.7,-3.94
2022/09/08,0.598,Sold,-44,26.3,-3.94
2022/09/08,0.598,Sold,-45,26.9,-3.94
2022/09/08,0.598,Sold,-46,27.5,-3.94
2022/09/08,0.597,Sold,-47,28.1,-3.94
2022/09/08,0.597,Sold,-48,28.7,-3.94
2022/09/08,0.598,Sold,-49,29.3,-3.94
2022/09/08,0.598,Sold,-50,29.9,-3.94
2022/09/08,0.598,Sold,-51,30.5,-3.94
2022/09/08,0.598,Sold,-52,31.1,-3.94
2022/09/08,0.598,Sold,-53,31.7,-3.94
2022/09/08,0.597,Sold,-54,32.3,-3.94
2022/09/08,0.597,Sold,-55,32.9,-3.94
2022/09/08,0.597,Sold,-56,33.5,-3.94
2022/09/08,0.597,Sold,-57,34.1,-3.94
2022/09/08,0.597,Sold,-58,34.7,-3.94
2022/09/08,0.598,Sold,-59,35.3,-3.94
2022/09/08,0.598,Sold,-60,35.9,-3.94
2022/09/08,0.597,Sold,-61,36.5,-3.94
2022/09/08,0.597,Sold,-62,37.1,-3.94
2022/09/08,0.597,Sold,-63,37.7,-3.94
2022/09/08,0.597,Sold,-64,38.3,-3.94
2022/09/08,0.597,Sold,-65,38.9,-3.94
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Cleared,0,0,8.19
2022/09/08,0.598,Bought,1,-0.598,8.19
2022/09/08,0.598,Bought,2,-1.2,8.19
2022/09/08,0.598,Bought,3,-1.79,8.19
2022/09/08,0.598,Bought,4,-2.39,8.19
2022/09/08,0.598,Bought,5,-2.99,8.19
2022/09/08,0.598,Bought,6,-3.59,8.19
2022/09/08,0.598,Bought,7,-4.19,8.19
